納品数,販売数,時系列インデックス,タイトル,累積販売数,消化率
0,340,15,一番くじプレミアムＴｏＬＯＶＥる＊,6341,0.31705
0,342,16,一番くじプレミアムＴｏＬＯＶＥる＊,6683,0.33415
0,273,17,一番くじプレミアムＴｏＬＯＶＥる＊,6956,0.3478
0,337,18,一番くじプレミアムＴｏＬＯＶＥる＊,7293,0.36465
0,295,19,一番くじプレミアムＴｏＬＯＶＥる＊,7588,0.3794
0,285,20,一番くじプレミアムＴｏＬＯＶＥる＊,7873,0.39365
0,228,21,一番くじプレミアムＴｏＬＯＶＥる＊,8101,0.40505
0,277,22,一番くじプレミアムＴｏＬＯＶＥる＊,8378,0.4189
0,219,23,一番くじプレミアムＴｏＬＯＶＥる＊,8597,0.42985
0,222,24,一番くじプレミアムＴｏＬＯＶＥる＊,8819,0.44095
0,185,25,一番くじプレミアムＴｏＬＯＶＥる＊,9004,0.4502
0,215,26,一番くじプレミアムＴｏＬＯＶＥる＊,9219,0.46095
0,173,27,一番くじプレミアムＴｏＬＯＶＥる＊,9392,0.4696
0,128,28,一番くじプレミアムＴｏＬＯＶＥる＊,9520,0.476
0,155,29,一番くじプレミアムＴｏＬＯＶＥる＊,9675,0.48375
0,160,30,一番くじプレミアムＴｏＬＯＶＥる＊,9835,0.49175
0,155,31,一番くじプレミアムＴｏＬＯＶＥる＊,9990,0.4995
0,140,32,一番くじプレミアムＴｏＬＯＶＥる＊,10130,0.5065
0,145,33,一番くじプレミアムＴｏＬＯＶＥる＊,10275,0.51375
0,165,34,一番くじプレミアムＴｏＬＯＶＥる＊,10440,0.522
0,91,35,一番くじプレミアムＴｏＬＯＶＥる＊,10531,0.52655
0,152,36,一番くじプレミアムＴｏＬＯＶＥる＊,10683,0.53415
0,127,37,一番くじプレミアムＴｏＬＯＶＥる＊,10810,0.5405
0,70,38,一番くじプレミアムＴｏＬＯＶＥる＊,10880,0.544
0,62,39,一番くじプレミアムＴｏＬＯＶＥる＊,10942,0.5471
0,75,40,一番くじプレミアムＴｏＬＯＶＥる＊,11017,0.55085
0,61,41,一番くじプレミアムＴｏＬＯＶＥる＊,11078,0.5539
0,46,42,一番くじプレミアムＴｏＬＯＶＥる＊,11124,0.5562
0,26,43,一番くじプレミアムＴｏＬＯＶＥる＊,11150,0.5575
0,33,44,一番くじプレミアムＴｏＬＯＶＥる＊,11183,0.55915
0,48,45,一番くじプレミアムＴｏＬＯＶＥる＊,11231,0.56155
0,38,46,一番くじプレミアムＴｏＬＯＶＥる＊,11269,0.56345
0,38,47,一番くじプレミアムＴｏＬＯＶＥる＊,11307,0.56535
0,48,48,一番くじプレミアムＴｏＬＯＶＥる＊,11355,0.56775
0,24,49,一番くじプレミアムＴｏＬＯＶＥる＊,11379,0.56895
0,34,50,一番くじプレミアムＴｏＬＯＶＥる＊,11413,0.57065
0,14,51,一番くじプレミアムＴｏＬＯＶＥる＊,11427,0.57135
0,50,52,一番くじプレミアムＴｏＬＯＶＥる＊,11477,0.57385
0,48,53,一番くじプレミアムＴｏＬＯＶＥる＊,11525,0.57625
0,32,54,一番くじプレミアムＴｏＬＯＶＥる＊,11557,0.57785
0,22,55,一番くじプレミアムＴｏＬＯＶＥる＊,11579,0.57895
0,20,56,一番くじプレミアムＴｏＬＯＶＥる＊,11599,0.57995
0,27,57,一番くじプレミアムＴｏＬＯＶＥる＊,11626,0.5813
0,25,58,一番くじプレミアムＴｏＬＯＶＥる＊,11651,0.58255
0,20,59,一番くじプレミアムＴｏＬＯＶＥる＊,11671,0.58355
0,1443,0,一番くじタヌキとキツネお山のパン屋さん,1443,0.007239614689945816
103752,19926,1,一番くじタヌキとキツネお山のパン屋さん,21369,0.10720951234196267
95568,22514,2,一番くじタヌキとキツネお山のパン屋さん,43883,0.2201635560907084
0,15724,3,一番くじタヌキとキツネお山のパン屋さん,59607,0.299051776038531
0,13275,4,一番くじタヌキとキツネお山のパン屋さん,72882,0.3656532209512342
0,11101,5,一番くじタヌキとキツネお山のパン屋さん,83983,0.4213475817780454
0,9813,6,一番くじタヌキとキツネお山のパン屋さん,93796,0.4705799719044752
0,9875,7,一番くじタヌキとキツネお山のパン屋さん,103671,0.5201234196267309
0,10834,8,一番くじタヌキとキツネお山のパン屋さん,114505,0.5744782259682922
0,7877,9,一番くじタヌキとキツネお山のパン屋さん,122382,0.6139975918121614
0,4603,10,一番くじタヌキとキツネお山のパン屋さん,126985,0.637091109773229
0,4616,11,一番くじタヌキとキツネお山のパン屋さん,131601,0.66024984948826
0,4004,12,一番くじタヌキとキツネお山のパン屋さん,135605,0.6803381497090106
0,3717,13,一番くじタヌキとキツネお山のパン屋さん,139322,0.6989865542845676
0,3688,14,一番くじタヌキとキツネお山のパン屋さん,143010,0.7174894641782059
0,4274,15,一番くじタヌキとキツネお山のパン屋さん,147284,0.7389323700581979
0,3417,16,一番くじタヌキとキツネお山のパン屋さん,150701,0.7560756572345977
0,2359,17,一番くじタヌキとキツネお山のパン屋さん,153060,0.7679108970499698
0,2094,18,一番くじタヌキとキツネお山のパン屋さん,155154,0.7784166164960867
0,2072,19,一番くじタヌキとキツネお山のパン屋さん,157226,0.7888119606662654
0,1722,20,一番くじタヌキとキツネお山のパン屋さん,158948,0.7974513345374272
0,1856,21,一番くじタヌキとキツネお山のパン屋さん,160804,0.8067629941802127
0,2426,22,一番くじタヌキとキツネお山のパン屋さん,163230,0.8189343768813967
0,2070,23,一番くじタヌキとキツネお山のパン屋さん,165300,0.829319686935581
0,1421,24,一番くじタヌキとキツネお山のパン屋さん,166721,0.8364489263495886
0,1047,25,一番くじタヌキとキツネお山のパン屋さん,167768,0.841701786072647
0,1325,26,一番くじタヌキとキツネお山のパン屋さん,169093,0.8483493879189243
0,1437,27,一番くじタヌキとキツネお山のパン屋さん,170530,0.855558900260887
0,1085,28,一番くじタヌキとキツネお山のパン屋さん,171615,0.8610024081878387
0,1157,29,一番くじタヌキとキツネお山のパン屋さん,172772,0.866807144290588
0,1165,30,一番くじタヌキとキツネお山のパン屋さん,173937,0.8726520168573149
0,967,31,一番くじタヌキとキツネお山のパン屋さん,174904,0.8775035119405981
0,974,32,一番くじタヌキとキツネお山のパン屋さん,175878,0.8823901264298615
0,853,33,一番くじタヌキとキツネお山のパン屋さん,176731,0.886669676901465
0,930,34,一番くじタヌキとキツネお山のパン屋さん,177661,0.8913355408388521
0,781,35,一番くじタヌキとキツネお山のパン屋さん,178442,0.8952538631346578
0,1092,36,一番くじタヌキとキツネお山のパン屋さん,179534,0.9007324904675899
0,747,37,一番くじタヌキとキツネお山のパン屋さん,180281,0.904480232791491
